,MS SubClass,Lot Frontage,Lot Area,Neighborhood,Overall Qual,Year Built,Year Remod/Add,Exterior 1st,Exterior 2nd,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,TotRms AbvGrd,Garage Yr Blt,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Sale Type,SalePrice
0,20,141.0,31770,NAmes,6,1960,1960,BrkFace,Plywood,112.0,639.0,0.0,441.0,1080.0,1656,0,0,1656,7,1960.0,528.0,210,62,0,0,0,0,0,5,WD ,215000
1,20,80.0,11622,NAmes,5,1961,1961,VinylSd,VinylSd,0.0,468.0,144.0,270.0,882.0,896,0,0,896,5,1961.0,730.0,140,0,0,0,120,0,0,6,WD ,105000
2,20,81.0,14267,NAmes,6,1958,1958,Wd Sdng,Wd Sdng,108.0,923.0,0.0,406.0,1329.0,1329,0,0,1329,6,1958.0,312.0,393,36,0,0,0,0,12500,6,WD ,172000
3,20,93.0,11160,NAmes,7,1968,1968,BrkFace,BrkFace,0.0,1065.0,0.0,1045.0,2110.0,2110,0,0,2110,8,1968.0,522.0,0,0,0,0,0,0,0,4,WD ,244000
4,60,74.0,13830,Gilbert,5,1997,1998,VinylSd,VinylSd,0.0,791.0,0.0,137.0,928.0,928,701,0,1629,6,1997.0,482.0,212,34,0,0,0,0,0,3,WD ,189900
5,60,78.0,9978,Gilbert,6,1998,1998,VinylSd,VinylSd,20.0,602.0,0.0,324.0,926.0,926,678,0,1604,7,1998.0,470.0,360,36,0,0,0,0,0,6,WD ,195500
6,120,41.0,4920,StoneBr,8,2001,2001,CemntBd,CmentBd,0.0,616.0,0.0,722.0,1338.0,1338,0,0,1338,6,2001.0,582.0,0,0,170,0,0,0,0,4,WD ,213500
7,120,43.0,5005,StoneBr,8,1992,1992,HdBoard,HdBoard,0.0,263.0,0.0,1017.0,1280.0,1280,0,0,1280,5,1992.0,506.0,0,82,0,0,144,0,0,1,WD ,191500
8,120,39.0,5389,StoneBr,8,1995,1996,CemntBd,CmentBd,0.0,1180.0,0.0,415.0,1595.0,1616,0,0,1616,5,1995.0,608.0,237,152,0,0,0,0,0,3,WD ,236500
9,60,60.0,7500,Gilbert,7,1999,1999,VinylSd,VinylSd,0.0,0.0,0.0,994.0,994.0,1028,776,0,1804,7,1999.0,442.0,140,60,0,0,0,0,0,6,WD ,189000
10,60,75.0,10000,Gilbert,6,1993,1994,HdBoard,HdBoard,0.0,0.0,0.0,763.0,763.0,763,892,0,1655,7,1993.0,440.0,157,84,0,0,0,0,0,4,WD ,175900
11,20,,7980,Gilbert,6,1992,2007,HdBoard,HdBoard,0.0,935.0,0.0,233.0,1168.0,1187,0,0,1187,6,1992.0,420.0,483,21,0,0,0,0,500,3,WD ,185000
12,60,63.0,8402,Gilbert,6,1998,1998,VinylSd,VinylSd,0.0,0.0,0.0,789.0,789.0,789,676,0,1465,7,1998.0,393.0,0,75,0,0,0,0,0,5,WD ,180400
13,20,85.0,10176,Gilbert,7,1990,1990,HdBoard,HdBoard,0.0,637.0,0.0,663.0,1300.0,1341,0,0,1341,5,1990.0,506.0,192,0,0,0,0,0,0,2,WD ,171500
14,120,,6820,StoneBr,8,1985,1985,HdBoard,HdBoard,0.0,368.0,1120.0,0.0,1488.0,1502,0,0,1502,4,1985.0,528.0,0,54,0,0,140,0,0,6,WD ,212000
15,60,47.0,53504,StoneBr,8,2003,2003,CemntBd,Wd Shng,603.0,1416.0,0.0,234.0,1650.0,1690,1589,0,3279,12,2003.0,841.0,503,36,0,0,210,0,0,6,WD ,538000
16,50,152.0,12134,Gilbert,8,1988,2005,Wd Sdng,Wd Sdng,0.0,427.0,0.0,132.0,559.0,1080,672,0,1752,8,1988.0,492.0,325,12,0,0,0,0,0,6,WD ,164000
17,20,88.0,11394,StoneBr,9,2010,2010,VinylSd,VinylSd,350.0,1445.0,0.0,411.0,1856.0,1856,0,0,1856,8,2010.0,834.0,113,0,0,0,0,0,0,6,New,394432
18,20,140.0,19138,Gilbert,4,1951,1951,VinylSd,VinylSd,0.0,120.0,0.0,744.0,864.0,864,0,0,864,4,1951.0,400.0,0,0,0,0,0,0,0,6,WD ,141000
19,20,85.0,13175,NWAmes,6,1978,1988,Plywood,Plywood,119.0,790.0,163.0,589.0,1542.0,2073,0,0,2073,7,1978.0,500.0,349,0,0,0,0,0,0,2,WD ,210000
20,20,105.0,11751,NWAmes,6,1977,1977,Plywood,Plywood,480.0,705.0,0.0,1139.0,1844.0,1844,0,0,1844,7,1977.0,546.0,0,122,0,0,0,0,0,1,COD,190000
21,85,85.0,10625,NWAmes,7,1974,1974,Plywood,Plywood,81.0,885.0,168.0,0.0,1053.0,1173,0,0,1173,6,1974.0,528.0,0,120,0,0,0,0,0,1,WD ,170000
22,60,,7500,Somerst,7,2000,2000,VinylSd,VinylSd,0.0,533.0,0.0,281.0,814.0,814,860,0,1674,7,2000.0,663.0,0,96,0,0,0,0,0,1,WD ,216000
23,20,,11241,NAmes,6,1970,1970,Wd Sdng,Wd Sdng,180.0,578.0,0.0,426.0,1004.0,1004,0,0,1004,5,1970.0,480.0,0,0,0,0,0,0,700,3,WD ,149000
24,20,,12537,NAmes,5,1971,2008,VinylSd,VinylSd,0.0,734.0,0.0,344.0,1078.0,1078,0,0,1078,6,1971.0,500.0,0,0,0,0,0,0,0,4,WD ,149900
